Test,First,Function,Iterations,GA%,PSO%,GA iterations,PSO iterations,Current iteration,Current Algorithm,Gen/Epoch#,Indv #,X,Y
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,45,1.3818000000000001,0.7948697437868895
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,46,1.3793000000000006,0.7621497387730272
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,47,2.1964000000000006,4.313026294347643
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,48,-0.6179000000000006,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,3,GA,3,49,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,0,1.3817000000000004,0.7934946910731255
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,1,-9.7268,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,2,1.0686999999999998,0.10630970198372058,bestInCurrentpop
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,3,1.0742999999999991,0.118425202529574
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,4,0.4013000000000009,0.7813971654515577
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,5,1.2110000000000003,2.3004281254650705
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,6,1.0747999999999998,0.12005021728573151
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,7,1.0943000000000005,0.25292008533885757
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,8,0.27970000000000006,1.0958584084599607
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,9,1.0741999999999994,0.11811092402341272
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,10,0.08539999999999992,1.0436103070498384
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,11,1.0950000000000006,0.2601670596089205
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,12,1.3817000000000004,0.7934946910731255
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,13,1.0854,0.17556056608037418
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,14,0.27860000000000085,1.0968043701057524
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,15,1.0745000000000005,0.11906448251712132
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,16,1.0751000000000008,0.12106814086317885
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,17,1.3798999999999992,0.7696859629480068
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,18,0.2797999999999998,1.095771102333929
